COU,SEX,Time,Value
AUT,ALL_PERSONS,2000,58.5
AUT,MEN,2000,68.9
AUT,WOMEN,2000,49
AUT,ALL_PERSONS,2001,58.5
AUT,MEN,2001,68.4
AUT,WOMEN,2001,49.5
AUT,ALL_PERSONS,2002,59.1
AUT,MEN,2002,68.5
AUT,WOMEN,2002,50.5
AUT,ALL_PERSONS,2003,59.5
AUT,MEN,2003,68.5
AUT,WOMEN,2003,51.1
AUT,ALL_PERSONS,2004,57.9
AUT,MEN,2004,66.1
AUT,WOMEN,2004,50.4
AUT,ALL_PERSONS,2005,58.6
AUT,MEN,2005,66.4
AUT,WOMEN,2005,51.3
AUT,ALL_PERSONS,2006,59.1
AUT,MEN,2006,66.7
AUT,WOMEN,2006,52
AUT,ALL_PERSONS,2007,59.9
AUT,MEN,2007,67.6
AUT,WOMEN,2007,52.8
AUT,ALL_PERSONS,2008,60.2
AUT,MEN,2008,67.5
AUT,WOMEN,2008,53.4
AUT,ALL_PERSONS,2009,60.4
AUT,MEN,2009,67.3
AUT,WOMEN,2009,54
AUT,ALL_PERSONS,2010,60.4
AUT,MEN,2010,67.1
AUT,WOMEN,2010,54.2
AUT,ALL_PERSONS,2011,60.5
AUT,MEN,2011,66.9
AUT,WOMEN,2011,54.5
AUT,ALL_PERSONS,2012,60.8
AUT,MEN,2012,66.9
AUT,WOMEN,2012,55
AUT,ALL_PERSONS,2013,60.9
AUT,MEN,2013,66.9
AUT,WOMEN,2013,55.3
AUT,ALL_PERSONS,2014,60.7
AUT,MEN,2014,66.4
AUT,WOMEN,2014,55.3
BEL,ALL_PERSONS,2000,52.2
BEL,MEN,2000,61.5
BEL,WOMEN,2000,43.4
BEL,ALL_PERSONS,2001,51.3
BEL,MEN,2001,60.9
BEL,WOMEN,2001,42.3
BEL,ALL_PERSONS,2002,51.7
BEL,MEN,2002,60.8
BEL,WOMEN,2002,43.2
BEL,ALL_PERSONS,2003,51.8
BEL,MEN,2003,60.5
BEL,WOMEN,2003,43.6
BEL,ALL_PERSONS,2004,52.5
BEL,MEN,2004,61.1
BEL,WOMEN,2004,44.5
BEL,ALL_PERSONS,2005,53.3
BEL,MEN,2005,61.4
BEL,WOMEN,2005,45.7
BEL,ALL_PERSONS,2006,53.1
BEL,MEN,2006,60.9
BEL,WOMEN,2006,45.8
BEL,ALL_PERSONS,2007,53.6
BEL,MEN,2007,61.1
BEL,WOMEN,2007,46.5
BEL,ALL_PERSONS,2008,53.7
BEL,MEN,2008,60.8
BEL,WOMEN,2008,46.9
BEL,ALL_PERSONS,2009,53.5
BEL,MEN,2009,60.4
BEL,WOMEN,2009,47
BEL,ALL_PERSONS,2010,54.1
BEL,MEN,2010,60.8
BEL,WOMEN,2010,47.7
BEL,ALL_PERSONS,2011,53.2
BEL,MEN,2011,59.7
BEL,WOMEN,2011,47
BEL,ALL_PERSONS,2012,53.2
BEL,MEN,2012,59.7
BEL,WOMEN,2012,47.1
BEL,ALL_PERSONS,2013,53.6
BEL,MEN,2013,59.7
BEL,WOMEN,2013,47.8
BEL,ALL_PERSONS,2014,53.5
BEL,MEN,2014,59.2
BEL,WOMEN,2014,48.1
CZE,ALL_PERSONS,2000,60.4
CZE,MEN,2000,69.8
CZE,WOMEN,2000,51.6
CZE,ALL_PERSONS,2001,60
CZE,MEN,2001,69.4
CZE,WOMEN,2001,51.3
CZE,ALL_PERSONS,2002,59.9
CZE,MEN,2002,69.4
CZE,WOMEN,2002,51
CZE,ALL_PERSONS,2003,59.4
CZE,MEN,2003,68.7
CZE,WOMEN,2003,50.8
CZE,ALL_PERSONS,2004,59.2
CZE,MEN,2004,68.4
CZE,WOMEN,2004,50.5
CZE,ALL_PERSONS,2005,59.4
CZE,MEN,2005,68.7
CZE,WOMEN,2005,50.6
CZE,ALL_PERSONS,2006,59.3
CZE,MEN,2006,68.5
CZE,WOMEN,2006,50.6
CZE,ALL_PERSONS,2007,58.8
CZE,MEN,2007,68.3
CZE,WOMEN,2007,49.8
CZE,ALL_PERSONS,2008,58.5
CZE,MEN,2008,68.2
CZE,WOMEN,2008,49.3
CZE,ALL_PERSONS,2009,58.7
CZE,MEN,2009,68.3
CZE,WOMEN,2009,49.5
CZE,ALL_PERSONS,2010,58.4
CZE,MEN,2010,68
CZE,WOMEN,2010,49.3
CZE,ALL_PERSONS,2011,58.3
CZE,MEN,2011,67.6
CZE,WOMEN,2011,49.5
CZE,ALL_PERSONS,2012,58.6
CZE,MEN,2012,67.7
CZE,WOMEN,2012,50
CZE,ALL_PERSONS,2013,59.3
CZE,MEN,2013,68.1
CZE,WOMEN,2013,50.9
CZE,ALL_PERSONS,2014,59.3
CZE,MEN,2014,68.2
CZE,WOMEN,2014,50.9
DNK,ALL_PERSONS,2000,65.5
DNK,MEN,2000,71.2
DNK,WOMEN,2000,60.1
DNK,ALL_PERSONS,2001,65.9
DNK,MEN,2001,71.6
DNK,WOMEN,2001,60.5
DNK,ALL_PERSONS,2002,65.5
DNK,MEN,2002,71.1
DNK,WOMEN,2002,60.1
DNK,ALL_PERSONS,2003,65.5
DNK,MEN,2003,71.4
DNK,WOMEN,2003,59.8
DNK,ALL_PERSONS,2004,66
DNK,MEN,2004,71.6
DNK,WOMEN,2004,60.7
DNK,ALL_PERSONS,2005,65.6
DNK,MEN,2005,71.1
DNK,WOMEN,2005,60.4
DNK,ALL_PERSONS,2006,65.9
DNK,MEN,2006,71.1
DNK,WOMEN,2006,60.9
DNK,ALL_PERSONS,2007,65.7
DNK,MEN,2007,70.9
DNK,WOMEN,2007,60.7
DNK,ALL_PERSONS,2008,66
DNK,MEN,2008,71.2
DNK,WOMEN,2008,60.9
DNK,ALL_PERSONS,2009,65.3
DNK,MEN,2009,70.2
DNK,WOMEN,2009,60.6
DNK,ALL_PERSONS,2010,64.4
DNK,MEN,2010,69.1
DNK,WOMEN,2010,59.8
DNK,ALL_PERSONS,2011,63.9
DNK,MEN,2011,68.4
DNK,WOMEN,2011,59.6
DNK,ALL_PERSONS,2012,63.2
DNK,MEN,2012,67.4
DNK,WOMEN,2012,59.1
DNK,ALL_PERSONS,2013,62.4
DNK,MEN,2013,66.2
DNK,WOMEN,2013,58.6
DNK,ALL_PERSONS,2014,62.2
DNK,MEN,2014,66.4
DNK,WOMEN,2014,58.1
EST,ALL_PERSONS,2000,64
EST,MEN,2000,70.5
EST,WOMEN,2000,58.3
EST,ALL_PERSONS,2001,63.4
EST,MEN,2001,69.4
EST,WOMEN,2001,58.1
EST,ALL_PERSONS,2002,62.4
EST,MEN,2002,67.9
EST,WOMEN,2002,57.4
EST,ALL_PERSONS,2003,63.3
EST,MEN,2003,68.6
EST,WOMEN,2003,58.6
EST,ALL_PERSONS,2004,63.3
EST,MEN,2004,68.1
EST,WOMEN,2004,59
EST,ALL_PERSONS,2005,63.4
EST,MEN,2005,67.4
EST,WOMEN,2005,59.8
EST,ALL_PERSONS,2006,65.9
EST,MEN,2006,70.9
EST,WOMEN,2006,61.4
EST,ALL_PERSONS,2007,66
EST,MEN,2007,71.8
EST,WOMEN,2007,60.8
EST,ALL_PERSONS,2008,66.9
EST,MEN,2008,72.4
EST,WOMEN,2008,62
EST,ALL_PERSONS,2009,66.6
EST,MEN,2009,71.7
EST,WOMEN,2009,62.1
EST,ALL_PERSONS,2010,66.5
EST,MEN,2010,70.8
EST,WOMEN,2010,62.6
EST,ALL_PERSONS,2011,67.7
EST,MEN,2011,72.2
EST,WOMEN,2011,63.6
EST,ALL_PERSONS,2012,68
EST,MEN,2012,72.8
EST,WOMEN,2012,63.6
EST,ALL_PERSONS,2013,68.3
EST,MEN,2013,73
EST,WOMEN,2013,63.9
EST,ALL_PERSONS,2014,68.3
EST,MEN,2014,73.7
EST,WOMEN,2014,63.4
FIN,ALL_PERSONS,2000,66.9
FIN,MEN,2000,70.5
FIN,WOMEN,2000,63.3
FIN,ALL_PERSONS,2001,67.2
FIN,MEN,2001,70.7
FIN,WOMEN,2001,63.6
FIN,ALL_PERSONS,2002,67.1
FIN,MEN,2002,70.2
FIN,WOMEN,2002,64
FIN,ALL_PERSONS,2003,66.8
FIN,MEN,2003,70.1
FIN,WOMEN,2003,63.4
FIN,ALL_PERSONS,2004,66.5
FIN,MEN,2004,69.6
FIN,WOMEN,2004,63.3
FIN,ALL_PERSONS,2005,66.8
FIN,MEN,2005,69.5
FIN,WOMEN,2005,64.2
FIN,ALL_PERSONS,2006,67.4
FIN,MEN,2006,70.2
FIN,WOMEN,2006,64.6
FIN,ALL_PERSONS,2007,67.7
FIN,MEN,2007,70.3
FIN,WOMEN,2007,65.1
FIN,ALL_PERSONS,2008,68.1
FIN,MEN,2008,70.9
FIN,WOMEN,2008,65.2
FIN,ALL_PERSONS,2009,66.6
FIN,MEN,2009,68.6
FIN,WOMEN,2009,64.7
FIN,ALL_PERSONS,2010,66.6
FIN,MEN,2010,69.4
FIN,WOMEN,2010,63.7
FIN,ALL_PERSONS,2011,66.6
FIN,MEN,2011,69.7
FIN,WOMEN,2011,63.6
FIN,ALL_PERSONS,2012,66.5
FIN,MEN,2012,69.1
FIN,WOMEN,2012,63.8
FIN,ALL_PERSONS,2013,65.5
FIN,MEN,2013,67.6
FIN,WOMEN,2013,63.4
FIN,ALL_PERSONS,2014,65.8
FIN,MEN,2014,68.3
FIN,WOMEN,2014,63.4
FRA,ALL_PERSONS,2000,55.7
FRA,MEN,2000,62.9
FRA,WOMEN,2000,49.1
FRA,ALL_PERSONS,2001,55.5
FRA,MEN,2001,62.7
FRA,WOMEN,2001,48.9
FRA,ALL_PERSONS,2002,55.7
FRA,MEN,2002,62.9
FRA,WOMEN,2002,49.1
FRA,ALL_PERSONS,2003,56.5
FRA,MEN,2003,63.1
