COU,Country,IND,Indicator,SEX,Sex,AGE,Age Group,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
AUT,Austria,EMP6,"Share of employed in involuntary part-time employment, by sex and age group",ALL_PERSONS,All persons,55PLUS,55+,2000,2000,PC,Percentage,0,Units,,,2.3,,
AUT,Austria,EMP6,"Share of employed in involuntary part-time employment, by sex and age group",ALL_PERSONS,All persons,55PLUS,55+,2001,2001,PC,Percentage,0,Units,,,1.2,,
AUT,Austria,EMP6,"Share of employed in involuntary part-time employment, by sex and age group",ALL_PERSONS,All persons,55PLUS,55+,2002,2002,PC,Percentage,0,Units,,,1.4,,
AUT,Austria,EMP6,"Share of employed in involuntary part-time employment, by sex and age group",ALL_PERSONS,All persons,55PLUS,55+,2003,2003,PC,Percentage,0,Units,,,1.3,,
AUT,Austria,EMP6,"Share of employed in involuntary part-time employment, by sex and age group",ALL_PERSONS,All persons,55PLUS,55+,2004,2004,PC,Percentage,0,Units,,,1.4,,
AUT,Austria,EMP6,"Share of employed in involuntary part-time employment, by sex and age group",ALL_PERSONS,All persons,55PLUS,55+,2005,2005,PC,Percentage,0,Units,,,3.1,,
AUT,Austria,EMP6,"Share of employed in involuntary part-time employment, by sex and age group",ALL_PERSONS,All persons,55PLUS,55+,2006,2006,PC,Percentage,0,Units,,,2.5,,
AUT,Austria,EMP6,"Share of employed in involuntary part-time employment, by sex and age group",ALL_PERSONS,All persons,55PLUS,55+,2007,2007,PC,Percentage,0,Units,,,2.2,,
AUT,Austria,EMP6,"Share of employed in involuntary part-time employment, by sex and age group",ALL_PERSONS,All persons,55PLUS,55+,2008,2008,PC,Percentage,0,Units,,,2.5,,
AUT,Austria,EMP6,"Share of employed in involuntary part-time employment, by sex and age group",ALL_PERSONS,All persons,55PLUS,55+,2009,2009,PC,Percentage,0,Units,,,2.2,,
AUT,Austria,EMP6,"Share of employed in involuntary part-time employment, by sex and age group",ALL_PERSONS,All persons,55PLUS,55+,2010,2010,PC,Percentage,0,Units,,,2.3,,
AUT,Austria,EMP6,"Share of employed in involuntary part-time employment, by sex and age group",ALL_PERSONS,All persons,55PLUS,55+,2011,2011,PC,Percentage,0,Units,,,2.3,,
AUT,Austria,EMP6,"Share of employed in involuntary part-time employment, by sex and age group",ALL_PERSONS,All persons,55PLUS,55+,2012,2012,PC,Percentage,0,Units,,,2.6,,
AUT,Austria,EMP6,"Share of employed in involuntary part-time employment, by sex and age group",MEN,Men,55PLUS,55+,2000,2000,PC,Percentage,0,Units,,,1.9,,
AUT,Austria,EMP6,"Share of employed in involuntary part-time employment, by sex and age group",MEN,Men,55PLUS,55+,2001,2001,PC,Percentage,0,Units,,,0.5,,
AUT,Austria,EMP6,"Share of employed in involuntary part-time employment, by sex and age group",MEN,Men,55PLUS,55+,2002,2002,PC,Percentage,0,Units,,,0.6,,
AUT,Austria,EMP6,"Share of employed in involuntary part-time employment, by sex and age group",MEN,Men,55PLUS,55+,2003,2003,PC,Percentage,0,Units,,,0.3,,
AUT,Austria,EMP6,"Share of employed in involuntary part-time employment, by sex and age group",MEN,Men,55PLUS,55+,2004,2004,PC,Percentage,0,Units,,,0.7,,
AUT,Austria,EMP6,"Share of employed in involuntary part-time employment, by sex and age group",MEN,Men,55PLUS,55+,2005,2005,PC,Percentage,0,Units,,,1.7,,
AUT,Austria,EMP6,"Share of employed in involuntary part-time employment, by sex and age group",MEN,Men,55PLUS,55+,2006,2006,PC,Percentage,0,Units,,,1.3,,
AUT,Austria,EMP6,"Share of employed in involuntary part-time employment, by sex and age group",MEN,Men,55PLUS,55+,2007,2007,PC,Percentage,0,Units,,,0.9,,
AUT,Austria,EMP6,"Share of employed in involuntary part-time employment, by sex and age group",MEN,Men,55PLUS,55+,2008,2008,PC,Percentage,0,Units,,,1,,
AUT,Austria,EMP6,"Share of employed in involuntary part-time employment, by sex and age group",MEN,Men,55PLUS,55+,2009,2009,PC,Percentage,0,Units,,,1.1,,
AUT,Austria,EMP6,"Share of employed in involuntary part-time employment, by sex and age group",MEN,Men,55PLUS,55+,2010,2010,PC,Percentage,0,Units,,,1.2,,
AUT,Austria,EMP6,"Share of employed in involuntary part-time employment, by sex and age group",MEN,Men,55PLUS,55+,2011,2011,PC,Percentage,0,Units,,,1,,
AUT,Austria,EMP6,"Share of employed in involuntary part-time employment, by sex and age group",MEN,Men,55PLUS,55+,2012,2012,PC,Percentage,0,Units,,,1.3,,
AUT,Austria,EMP6,"Share of employed in involuntary part-time employment, by sex and age group",WOMEN,Women,55PLUS,55+,2000,2000,PC,Percentage,0,Units,,,3.1,,
AUT,Austria,EMP6,"Share of employed in involuntary part-time employment, by sex and age group",WOMEN,Women,55PLUS,55+,2001,2001,PC,Percentage,0,Units,,,3.8,,
AUT,Austria,EMP6,"Share of employed in involuntary part-time employment, by sex and age group",WOMEN,Women,55PLUS,55+,2002,2002,PC,Percentage,0,Units,,,2.8,,
AUT,Austria,EMP6,"Share of employed in involuntary part-time employment, by sex and age group",WOMEN,Women,55PLUS,55+,2003,2003,PC,Percentage,0,Units,,,3.1,,
AUT,Austria,EMP6,"Share of employed in involuntary part-time employment, by sex and age group",WOMEN,Women,55PLUS,55+,2004,2004,PC,Percentage,0,Units,,,2.7,,
AUT,Austria,EMP6,"Share of employed in involuntary part-time employment, by sex and age group",WOMEN,Women,55PLUS,55+,2005,2005,PC,Percentage,0,Units,,,5.4,,
AUT,Austria,EMP6,"Share of employed in involuntary part-time employment, by sex and age group",WOMEN,Women,55PLUS,55+,2006,2006,PC,Percentage,0,Units,,,4.5,,
AUT,Austria,EMP6,"Share of employed in involuntary part-time employment, by sex and age group",WOMEN,Women,55PLUS,55+,2007,2007,PC,Percentage,0,Units,,,4.4,,
AUT,Austria,EMP6,"Share of employed in involuntary part-time employment, by sex and age group",WOMEN,Women,55PLUS,55+,2008,2008,PC,Percentage,0,Units,,,5,,
AUT,Austria,EMP6,"Share of employed in involuntary part-time employment, by sex and age group",WOMEN,Women,55PLUS,55+,2009,2009,PC,Percentage,0,Units,,,4,,
AUT,Austria,EMP6,"Share of employed in involuntary part-time employment, by sex and age group",WOMEN,Women,55PLUS,55+,2010,2010,PC,Percentage,0,Units,,,3.9,,
AUT,Austria,EMP6,"Share of employed in involuntary part-time employment, by sex and age group",WOMEN,Women,55PLUS,55+,2011,2011,PC,Percentage,0,Units,,,4.2,,
AUT,Austria,EMP6,"Share of employed in involuntary part-time employment, by sex and age group",WOMEN,Women,55PLUS,55+,2012,2012,PC,Percentage,0,Units,,,4.4,,
AUT,Austria,EMP1,"Labour force participation rate, by sex and age group ",ALL_PERSONS,All persons,TOTAL,Total,2000,2000,PC,Percentage,0,Units,,,58.5,,
AUT,Austria,EMP1,"Labour force participation rate, by sex and age group ",ALL_PERSONS,All persons,TOTAL,Total,2001,2001,PC,Percentage,0,Units,,,58.5,,
AUT,Austria,EMP1,"Labour force participation rate, by sex and age group ",ALL_PERSONS,All persons,TOTAL,Total,2002,2002,PC,Percentage,0,Units,,,59.1,,
AUT,Austria,EMP1,"Labour force participation rate, by sex and age group ",ALL_PERSONS,All persons,TOTAL,Total,2003,2003,PC,Percentage,0,Units,,,59.5,,
AUT,Austria,EMP1,"Labour force participation rate, by sex and age group ",ALL_PERSONS,All persons,TOTAL,Total,2004,2004,PC,Percentage,0,Units,,,57.9,,
AUT,Austria,EMP1,"Labour force participation rate, by sex and age group ",ALL_PERSONS,All persons,TOTAL,Total,2005,2005,PC,Percentage,0,Units,,,58.6,,
AUT,Austria,EMP1,"Labour force participation rate, by sex and age group ",ALL_PERSONS,All persons,TOTAL,Total,2006,2006,PC,Percentage,0,Units,,,59.1,,
AUT,Austria,EMP1,"Labour force participation rate, by sex and age group ",ALL_PERSONS,All persons,TOTAL,Total,2007,2007,PC,Percentage,0,Units,,,59.9,,
AUT,Austria,EMP1,"Labour force participation rate, by sex and age group ",ALL_PERSONS,All persons,TOTAL,Total,2008,2008,PC,Percentage,0,Units,,,60.2,,
AUT,Austria,EMP1,"Labour force participation rate, by sex and age group ",ALL_PERSONS,All persons,TOTAL,Total,2009,2009,PC,Percentage,0,Units,,,60.4,,
AUT,Austria,EMP1,"Labour force participation rate, by sex and age group ",ALL_PERSONS,All persons,TOTAL,Total,2010,2010,PC,Percentage,0,Units,,,60.4,,
AUT,Austria,EMP1,"Labour force participation rate, by sex and age group ",ALL_PERSONS,All persons,TOTAL,Total,2011,2011,PC,Percentage,0,Units,,,60.5,,
AUT,Austria,EMP1,"Labour force participation rate, by sex and age group ",ALL_PERSONS,All persons,TOTAL,Total,2012,2012,PC,Percentage,0,Units,,,60.8,,
AUT,Austria,EMP1,"Labour force participation rate, by sex and age group ",MEN,Men,TOTAL,Total,2000,2000,PC,Percentage,0,Units,,,68.9,,
AUT,Austria,EMP1,"Labour force participation rate, by sex and age group ",MEN,Men,TOTAL,Total,2001,2001,PC,Percentage,0,Units,,,68.4,,
AUT,Austria,EMP1,"Labour force participation rate, by sex and age group ",MEN,Men,TOTAL,Total,2002,2002,PC,Percentage,0,Units,,,68.5,,
AUT,Austria,EMP1,"Labour force participation rate, by sex and age group ",MEN,Men,TOTAL,Total,2003,2003,PC,Percentage,0,Units,,,68.5,,
AUT,Austria,EMP1,"Labour force participation rate, by sex and age group ",MEN,Men,TOTAL,Total,2004,2004,PC,Percentage,0,Units,,,66.1,,
AUT,Austria,EMP1,"Labour force participation rate, by sex and age group ",MEN,Men,TOTAL,Total,2005,2005,PC,Percentage,0,Units,,,66.4,,
AUT,Austria,EMP1,"Labour force participation rate, by sex and age group ",MEN,Men,TOTAL,Total,2006,2006,PC,Percentage,0,Units,,,66.7,,
AUT,Austria,EMP1,"Labour force participation rate, by sex and age group ",MEN,Men,TOTAL,Total,2007,2007,PC,Percentage,0,Units,,,67.6,,
AUT,Austria,EMP1,"Labour force participation rate, by sex and age group ",MEN,Men,TOTAL,Total,2008,2008,PC,Percentage,0,Units,,,67.5,,
AUT,Austria,EMP1,"Labour force participation rate, by sex and age group ",MEN,Men,TOTAL,Total,2009,2009,PC,Percentage,0,Units,,,67.3,,
AUT,Austria,EMP1,"Labour force participation rate, by sex and age group ",MEN,Men,TOTAL,Total,2010,2010,PC,Percentage,0,Units,,,67.1,,
AUT,Austria,EMP1,"Labour force participation rate, by sex and age group ",MEN,Men,TOTAL,Total,2011,2011,PC,Percentage,0,Units,,,66.9,,
AUT,Austria,EMP1,"Labour force participation rate, by sex and age group ",MEN,Men,TOTAL,Total,2012,2012,PC,Percentage,0,Units,,,66.9,,
AUT,Austria,EMP1,"Labour force participation rate, by sex and age group ",WOMEN,Women,TOTAL,Total,2000,2000,PC,Percentage,0,Units,,,49,,
AUT,Austria,EMP1,"Labour force participation rate, by sex and age group ",WOMEN,Women,TOTAL,Total,2001,2001,PC,Percentage,0,Units,,,49.5,,
AUT,Austria,EMP1,"Labour force participation rate, by sex and age group ",WOMEN,Women,TOTAL,Total,2002,2002,PC,Percentage,0,Units,,,50.5,,
AUT,Austria,EMP1,"Labour force participation rate, by sex and age group ",WOMEN,Women,TOTAL,Total,2003,2003,PC,Percentage,0,Units,,,51.1,,
AUT,Austria,EMP1,"Labour force participation rate, by sex and age group ",WOMEN,Women,TOTAL,Total,2004,2004,PC,Percentage,0,Units,,,50.4,,
AUT,Austria,EMP1,"Labour force participation rate, by sex and age group ",WOMEN,Women,TOTAL,Total,2005,2005,PC,Percentage,0,Units,,,51.3,,
AUT,Austria,EMP1,"Labour force participation rate, by sex and age group ",WOMEN,Women,TOTAL,Total,2006,2006,PC,Percentage,0,Units,,,52,,
AUT,Austria,EMP1,"Labour force participation rate, by sex and age group ",WOMEN,Women,TOTAL,Total,2007,2007,PC,Percentage,0,Units,,,52.8,,
AUT,Austria,EMP1,"Labour force participation rate, by sex and age group ",WOMEN,Women,TOTAL,Total,2008,2008,PC,Percentage,0,Units,,,53.4,,
