cou,sex,year,value,fillKey
HUN,MEN,2000,61.1,60-70
BEL,MEN,2000,61.5,60-70
ITA,MEN,2000,62.2,60-70
FRA,MEN,2000,62.9,60-70
POL,MEN,2000,64.1,60-70
SVN,MEN,2000,64.2,60-70
LVA,MEN,2000,64.4,60-70
GRC,MEN,2000,64.7,60-70
LTU,MEN,2000,66.0,60-70
LUX,MEN,2000,66.1,60-70
DEU,MEN,2000,66.6,60-70
ESP,MEN,2000,67.1,60-70
SVK,MEN,2000,68.2,60-70
AUT,MEN,2000,68.9,60-70
CZE,MEN,2000,69.8,60-70
PRT,MEN,2000,69.8,60-70
EST,MEN,2000,70.5,70-80
FIN,MEN,2000,70.5,70-80
GBR,MEN,2000,71.1,70-80
DNK,MEN,2000,71.2,70-80
IRL,MEN,2000,71.7,70-80
NLD,MEN,2000,72.7,70-80
TUR,MEN,2000,73.7,70-80
SWE,MEN,2000,74.3,70-80
CHE,MEN,2000,77.8,70-80
NOR,MEN,2000,78.0,70-80
ISL,MEN,2000,86.2,80-90
BEL,MEN,2001,60.9,60-70
HUN,MEN,2001,60.9,60-70
ITA,MEN,2001,62.0,60-70
FRA,MEN,2001,62.7,60-70
POL,MEN,2001,63.8,60-70
GRC,MEN,2001,64.1,60-70
LVA,MEN,2001,64.7,60-70
SVN,MEN,2001,64.8,60-70
LTU,MEN,2001,65.1,60-70
LUX,MEN,2001,65.7,60-70
DEU,MEN,2001,66.3,60-70
ESP,MEN,2001,66.5,60-70
AUT,MEN,2001,68.4,60-70
SVK,MEN,2001,68.9,60-70
CZE,MEN,2001,69.4,60-70
EST,MEN,2001,69.4,60-70
PRT,MEN,2001,70.2,70-80
GBR,MEN,2001,70.4,70-80
FIN,MEN,2001,70.7,70-80
DNK,MEN,2001,71.6,70-80
IRL,MEN,2001,71.7,70-80
NLD,MEN,2001,72.5,70-80
TUR,MEN,2001,72.9,70-80
SWE,MEN,2001,74.3,70-80
CHE,MEN,2001,77.4,70-80
NOR,MEN,2001,77.7,70-80
ISL,MEN,2001,86.5,80-90
BEL,MEN,2002,60.8,60-70
HUN,MEN,2002,60.8,60-70
ITA,MEN,2002,62.0,60-70
FRA,MEN,2002,62.9,60-70
POL,MEN,2002,62.9,60-70
GRC,MEN,2002,64.1,60-70
SVN,MEN,2002,64.1,60-70
LTU,MEN,2002,64.8,60-70
DEU,MEN,2002,65.5,60-70
LVA,MEN,2002,65.8,60-70
LUX,MEN,2002,66.5,60-70
ESP,MEN,2002,67.1,60-70
EST,MEN,2002,67.9,60-70
SVK,MEN,2002,68.3,60-70
AUT,MEN,2002,68.5,60-70
CZE,MEN,2002,69.4,60-70
FIN,MEN,2002,70.2,70-80
PRT,MEN,2002,70.5,70-80
GBR,MEN,2002,70.5,70-80
IRL,MEN,2002,71.0,70-80
DNK,MEN,2002,71.1,70-80
TUR,MEN,2002,71.6,70-80
NLD,MEN,2002,72.9,70-80
SWE,MEN,2002,74.3,70-80
CHE,MEN,2002,76.7,70-80
NOR,MEN,2002,77.3,70-80
ISL,MEN,2002,85.5,80-90
BEL,MEN,2003,60.5,60-70
HUN,MEN,2003,61.4,60-70
POL,MEN,2003,62.2,60-70
ITA,MEN,2003,62.3,60-70
FRA,MEN,2003,63.1,60-70
SVN,MEN,2003,63.5,60-70
GRC,MEN,2003,64.3,60-70
LTU,MEN,2003,64.6,60-70
DEU,MEN,2003,64.8,60-70
LUX,MEN,2003,65.1,60-70
LVA,MEN,2003,65.4,60-70
ESP,MEN,2003,67.9,60-70
SVK,MEN,2003,68.3,60-70
AUT,MEN,2003,68.5,60-70
EST,MEN,2003,68.6,60-70
CZE,MEN,2003,68.7,60-70
PRT,MEN,2003,69.9,60-70
FIN,MEN,2003,70.1,70-80
TUR,MEN,2003,70.4,70-80
IRL,MEN,2003,70.9,70-80
GBR,MEN,2003,70.9,70-80
DNK,MEN,2003,71.4,70-80
NLD,MEN,2003,72.0,70-80
SWE,MEN,2003,73.9,70-80
NOR,MEN,2003,76.6,70-80
CHE,MEN,2003,76.8,70-80
ISL,MEN,2003,85.9,80-90
BEL,MEN,2004,61.1,60-70
HUN,MEN,2004,61.2,60-70
ITA,MEN,2004,61.3,60-70
POL,MEN,2004,62.3,60-70
FRA,MEN,2004,62.9,60-70
LTU,MEN,2004,63.5,60-70
GRC,MEN,2004,64.4,60-70
DEU,MEN,2004,64.8,60-70
LUX,MEN,2004,64.9,60-70
LVA,MEN,2004,65.4,60-70
SVN,MEN,2004,65.9,60-70
AUT,MEN,2004,66.1,60-70
EST,MEN,2004,68.1,60-70
ESP,MEN,2004,68.2,60-70
SVK,MEN,2004,68.3,60-70
CZE,MEN,2004,68.4,60-70
PRT,MEN,2004,69.4,60-70
FIN,MEN,2004,69.6,60-70
TUR,MEN,2004,70.3,70-80
GBR,MEN,2004,70.4,70-80
IRL,MEN,2004,71.5,70-80
DNK,MEN,2004,71.6,70-80
NLD,MEN,2004,71.8,70-80
SWE,MEN,2004,73.6,70-80
CHE,MEN,2004,76.0,70-80
NOR,MEN,2004,76.4,70-80
ISL,MEN,2004,85.0,80-90
ITA,MEN,2005,60.9,60-70
BEL,MEN,2005,61.4,60-70
HUN,MEN,2005,61.7,60-70
FRA,MEN,2005,62.6,60-70
POL,MEN,2005,62.8,60-70
LTU,MEN,2005,62.9,60-70
GRC,MEN,2005,64.3,60-70
LUX,MEN,2005,65.1,60-70
LVA,MEN,2005,65.6,60-70
SVN,MEN,2005,66.0,60-70
DEU,MEN,2005,66.3,60-70
AUT,MEN,2005,66.4,60-70
EST,MEN,2005,67.4,60-70
SVK,MEN,2005,68.3,60-70
CZE,MEN,2005,68.7,60-70
ESP,MEN,2005,69.0,60-70
PRT,MEN,2005,69.1,60-70
FIN,MEN,2005,69.5,60-70
GBR,MEN,2005,70.3,70-80
TUR,MEN,2005,70.6,70-80
DNK,MEN,2005,71.1,70-80
NLD,MEN,2005,71.7,70-80
IRL,MEN,2005,72.5,70-80
CHE,MEN,2005,75.1,70-80
SWE,MEN,2005,75.2,70-80
NOR,MEN,2005,76.2,70-80
ISL,MEN,2005,86.0,80-90
LUX,MEN,2006,60.4,60-70
ITA,MEN,2006,60.8,60-70
BEL,MEN,2006,60.9,60-70
LTU,MEN,2006,61.3,60-70
POL,MEN,2006,62.1,60-70
FRA,MEN,2006,62.3,60-70
HUN,MEN,2006,62.5,60-70
GRC,MEN,2006,64.4,60-70
SVN,MEN,2006,65.7,60-70
DEU,MEN,2006,66.4,60-70
AUT,MEN,2006,66.7,60-70
LVA,MEN,2006,67.6,60-70
SVK,MEN,2006,68.1,60-70
CZE,MEN,2006,68.5,60-70
ESP,MEN,2006,69.2,60-70
