COU,SEX,Time,Value
TUR,ALL_PERSONS,2007,"46,2"
TUR,ALL_PERSONS,2004,"46,3"
TUR,ALL_PERSONS,2006,"46,3"
TUR,ALL_PERSONS,2005,"46,4"
TUR,ALL_PERSONS,2008,"46,9"
TUR,ALL_PERSONS,2009,"47,9"
TUR,ALL_PERSONS,2003,"48,3"
ITA,ALL_PERSONS,2000,"48,5"
ITA,ALL_PERSONS,2001,"48,7"
ITA,ALL_PERSONS,2010,"48,7"
ITA,ALL_PERSONS,2011,"48,7"
ITA,ALL_PERSONS,2007,"48,8"
TUR,ALL_PERSONS,2010,"48,8"
ITA,ALL_PERSONS,2002,"48,9"
ITA,ALL_PERSONS,2009,49
ITA,ALL_PERSONS,2005,"49,1"
ITA,ALL_PERSONS,2006,"49,1"
ITA,ALL_PERSONS,2003,"49,2"
ITA,ALL_PERSONS,2013,"49,3"
ITA,ALL_PERSONS,2004,"49,5"
ITA,ALL_PERSONS,2012,"49,6"
ITA,ALL_PERSONS,2014,"49,6"
TUR,ALL_PERSONS,2002,"49,6"
ITA,ALL_PERSONS,2008,"49,7"
TUR,ALL_PERSONS,2001,"49,8"
TUR,ALL_PERSONS,2000,"49,9"
TUR,ALL_PERSONS,2011,"49,9"
TUR,ALL_PERSONS,2012,50
TUR,ALL_PERSONS,2014,"50,5"
TUR,ALL_PERSONS,2013,"50,8"
BEL,ALL_PERSONS,2001,"51,3"
GRC,ALL_PERSONS,2001,"51,4"
BEL,ALL_PERSONS,2002,"51,7"
BEL,ALL_PERSONS,2003,"51,8"
GRC,ALL_PERSONS,2002,"51,8"
GRC,ALL_PERSONS,2014,"51,8"
GRC,ALL_PERSONS,2013,52
BEL,ALL_PERSONS,2000,"52,2"
GRC,ALL_PERSONS,2000,"52,2"
GRC,ALL_PERSONS,2003,"52,3"
GRC,ALL_PERSONS,2012,"52,3"
BEL,ALL_PERSONS,2004,"52,5"
GRC,ALL_PERSONS,2011,"52,7"
HUN,ALL_PERSONS,2001,"52,8"
GRC,ALL_PERSONS,2004,"52,9"
GRC,ALL_PERSONS,2005,"52,9"
GRC,ALL_PERSONS,2007,"52,9"
HUN,ALL_PERSONS,2002,"52,9"
ESP,ALL_PERSONS,2001,53
GRC,ALL_PERSONS,2008,53
HUN,ALL_PERSONS,2000,53
BEL,ALL_PERSONS,2006,"53,1"
GRC,ALL_PERSONS,2006,"53,1"
BEL,ALL_PERSONS,2011,"53,2"
BEL,ALL_PERSONS,2012,"53,2"
BEL,ALL_PERSONS,2005,"53,3"
GRC,ALL_PERSONS,2009,"53,4"
LUX,ALL_PERSONS,2000,"53,4"
BEL,ALL_PERSONS,2009,"53,5"
BEL,ALL_PERSONS,2014,"53,5"
GRC,ALL_PERSONS,2010,"53,5"
BEL,ALL_PERSONS,2007,"53,6"
BEL,ALL_PERSONS,2013,"53,6"
BEL,ALL_PERSONS,2008,"53,7"
POL,ALL_PERSONS,2007,"53,7"
ESP,ALL_PERSONS,2000,"53,8"
HUN,ALL_PERSONS,2003,"53,8"
HUN,ALL_PERSONS,2004,"53,8"
LUX,ALL_PERSONS,2001,"53,8"
POL,ALL_PERSONS,2006,54
BEL,ALL_PERSONS,2010,"54,1"
LUX,ALL_PERSONS,2003,"54,2"
POL,ALL_PERSONS,2008,"54,2"
HUN,ALL_PERSONS,2008,"54,3"
HUN,ALL_PERSONS,2009,"54,3"
HUN,ALL_PERSONS,2005,"54,5"
ESP,ALL_PERSONS,2002,"54,6"
HUN,ALL_PERSONS,2007,"54,7"
POL,ALL_PERSONS,2003,"54,7"
POL,ALL_PERSONS,2004,"54,7"
HUN,ALL_PERSONS,2010,"54,8"
LUX,ALL_PERSONS,2002,"54,8"
POL,ALL_PERSONS,2005,"54,9"
POL,ALL_PERSONS,2009,"54,9"
HUN,ALL_PERSONS,2006,55
LUX,ALL_PERSONS,2004,55
LUX,ALL_PERSONS,2006,55
HUN,ALL_PERSONS,2011,"55,2"
LTU,ALL_PERSONS,2006,"55,3"
POL,ALL_PERSONS,2010,"55,3"
POL,ALL_PERSONS,2002,"55,4"
FRA,ALL_PERSONS,2001,"55,5"
LTU,ALL_PERSONS,2007,"55,5"
POL,ALL_PERSONS,2011,"55,5"
LUX,ALL_PERSONS,2005,"55,6"
FRA,ALL_PERSONS,2000,"55,7"
FRA,ALL_PERSONS,2002,"55,7"
ESP,ALL_PERSONS,2003,"55,8"
LTU,ALL_PERSONS,2008,"55,8"
LUX,ALL_PERSONS,2007,"55,9"
POL,ALL_PERSONS,2012,"55,9"
POL,ALL_PERSONS,2013,"55,9"
LUX,ALL_PERSONS,2008,56
FRA,ALL_PERSONS,2014,"56,2"
LVA,ALL_PERSONS,2000,"56,2"
POL,ALL_PERSONS,2014,"56,2"
FRA,ALL_PERSONS,2006,"56,3"
HUN,ALL_PERSONS,2012,"56,3"
LTU,ALL_PERSONS,2005,"56,3"
POL,ALL_PERSONS,2001,"56,3"
FRA,ALL_PERSONS,2005,"56,4"
FRA,ALL_PERSONS,2007,"56,4"
FRA,ALL_PERSONS,2003,"56,5"
FRA,ALL_PERSONS,2004,"56,5"
FRA,ALL_PERSONS,2008,"56,5"
FRA,ALL_PERSONS,2011,"56,5"
FRA,ALL_PERSONS,2013,"56,5"
LTU,ALL_PERSONS,2009,"56,5"
SVN,ALL_PERSONS,2003,"56,5"
LVA,ALL_PERSONS,2001,"56,6"
POL,ALL_PERSONS,2000,"56,6"
ESP,ALL_PERSONS,2004,"56,7"
FRA,ALL_PERSONS,2009,"56,7"
FRA,ALL_PERSONS,2010,"56,7"
FRA,ALL_PERSONS,2012,"56,7"
LTU,ALL_PERSONS,2010,"56,8"
DEU,ALL_PERSONS,2003,"56,9"
HUN,ALL_PERSONS,2013,57
LTU,ALL_PERSONS,2004,57
DEU,ALL_PERSONS,2004,"57,1"
DEU,ALL_PERSONS,2002,"57,2"
SVN,ALL_PERSONS,2013,"57,2"
LVA,ALL_PERSONS,2003,"57,3"
LTU,ALL_PERSONS,2011,"57,4"
LVA,ALL_PERSONS,2002,"57,4"
LVA,ALL_PERSONS,2005,"57,4"
SVN,ALL_PERSONS,2002,"57,4"
DEU,ALL_PERSONS,2001,"57,5"
SVN,ALL_PERSONS,2012,"57,5"
DEU,ALL_PERSONS,2000,"57,6"
LUX,ALL_PERSONS,2011,"57,6"
LVA,ALL_PERSONS,2004,"57,6"
LTU,ALL_PERSONS,2012,"57,7"
LUX,ALL_PERSONS,2010,"57,7"
SVN,ALL_PERSONS,2000,"57,7"
SVN,ALL_PERSONS,2014,"57,7"
ESP,ALL_PERSONS,2005,"57,8"
AUT,ALL_PERSONS,2004,"57,9"
SVN,ALL_PERSONS,2011,"57,9"
LTU,ALL_PERSONS,2013,58
SVN,ALL_PERSONS,2001,58
LTU,ALL_PERSONS,2002,"58,1"
LTU,ALL_PERSONS,2003,"58,2"
LUX,ALL_PERSONS,2009,"58,2"
CZE,ALL_PERSONS,2011,"58,3"
CZE,ALL_PERSONS,2010,"58,4"
AUT,ALL_PERSONS,2000,"58,5"
AUT,ALL_PERSONS,2001,"58,5"
CZE,ALL_PERSONS,2008,"58,5"
DEU,ALL_PERSONS,2005,"58,5"
LTU,ALL_PERSONS,2001,"58,5"
LVA,ALL_PERSONS,2011,"58,5"
AUT,ALL_PERSONS,2005,"58,6"
CZE,ALL_PERSONS,2012,"58,6"
ESP,ALL_PERSONS,2006,"58,6"
CZE,ALL_PERSONS,2009,"58,7"
HUN,ALL_PERSONS,2014,"58,7"
CZE,ALL_PERSONS,2007,"58,8"
LUX,ALL_PERSONS,2012,"58,8"
PRT,ALL_PERSONS,2014,"58,8"
SVK,ALL_PERSONS,2007,"58,8"
SVK,ALL_PERSONS,2011,"58,8"
LTU,ALL_PERSONS,2014,"58,9"
LVA,ALL_PERSONS,2010,"58,9"
SVK,ALL_PERSONS,2009,"58,9"
DEU,ALL_PERSONS,2006,59
SVN,ALL_PERSONS,2004,59
AUT,ALL_PERSONS,2002,"59,1"
AUT,ALL_PERSONS,2006,"59,1"
LVA,ALL_PERSONS,2006,"59,1"
SVK,ALL_PERSONS,2006,"59,1"
CZE,ALL_PERSONS,2004,"59,2"
DEU,ALL_PERSONS,2007,"59,2"
SVK,ALL_PERSONS,2012,"59,2"
SVN,ALL_PERSONS,2005,"59,2"
SVN,ALL_PERSONS,2010,"59,2"
CZE,ALL_PERSONS,2006,"59,3"
CZE,ALL_PERSONS,2013,"59,3"
CZE,ALL_PERSONS,2014,"59,3"
DEU,ALL_PERSONS,2008,"59,3"
ESP,ALL_PERSONS,2007,"59,3"
LVA,ALL_PERSONS,2014,"59,3"
PRT,ALL_PERSONS,2013,"59,3"
SVK,ALL_PERSONS,2008,"59,3"
SVK,ALL_PERSONS,2013,"59,3"
SVK,ALL_PERSONS,2014,"59,3"
SVN,ALL_PERSONS,2006,"59,3"
CZE,ALL_PERSONS,2003,"59,4"
CZE,ALL_PERSONS,2005,"59,4"
LUX,ALL_PERSONS,2013,"59,4"
LVA,ALL_PERSONS,2013,"59,4"
SVK,ALL_PERSONS,2005,"59,4"
SVN,ALL_PERSONS,2009,"59,4"
AUT,ALL_PERSONS,2003,"59,5"
DEU,ALL_PERSONS,2009,"59,5"
DEU,ALL_PERSONS,2010,"59,5"
SVN,ALL_PERSONS,2008,"59,5"
ESP,ALL_PERSONS,2014,"59,6"
IRL,ALL_PERSONS,2000,"59,6"
LTU,ALL_PERSONS,2000,"59,7"
LVA,ALL_PERSONS,2012,"59,7"
SVN,ALL_PERSONS,2007,"59,7"
IRL,ALL_PERSONS,2001,"59,8"
IRL,ALL_PERSONS,2002,"59,8"
AUT,ALL_PERSONS,2007,"59,9"
CZE,ALL_PERSONS,2002,"59,9"
IRL,ALL_PERSONS,2003,"59,9"
SVK,ALL_PERSONS,2010,"59,9"
CZE,ALL_PERSONS,2001,60
ESP,ALL_PERSONS,2013,60
IRL,ALL_PERSONS,2014,60
DEU,ALL_PERSONS,2011,"60,1"
DEU,ALL_PERSONS,2012,"60,1"
ESP,ALL_PERSONS,2008,"60,1"
IRL,ALL_PERSONS,2012,"60,1"
LUX,ALL_PERSONS,2014,"60,1"
LVA,ALL_PERSONS,2009,"60,1"
SVK,ALL_PERSONS,2000,"60,1"
SVK,ALL_PERSONS,2002,"60,1"
SVK,ALL_PERSONS,2004,"60,1"
AUT,ALL_PERSONS,2008,"60,2"
ESP,ALL_PERSONS,2009,"60,2"
PRT,ALL_PERSONS,2012,"60,2"
DEU,ALL_PERSONS,2013,"60,3"
ESP,ALL_PERSONS,2010,"60,3"
ESP,ALL_PERSONS,2011,"60,3"
LVA,ALL_PERSONS,2007,"60,3"
SVK,ALL_PERSONS,2003,"60,3"
AUT,ALL_PERSONS,2009,"60,4"
AUT,ALL_PERSONS,2010,"60,4"
CZE,ALL_PERSONS,2000,"60,4"
DEU,ALL_PERSONS,2014,"60,4"
ESP,ALL_PERSONS,2012,"60,4"
AUT,ALL_PERSONS,2011,"60,5"
IRL,ALL_PERSONS,2004,"60,5"
IRL,ALL_PERSONS,2011,"60,5"
IRL,ALL_PERSONS,2013,"60,5"
PRT,ALL_PERSONS,2011,"60,5"
SVK,ALL_PERSONS,2001,"60,6"
AUT,ALL_PERSONS,2014,"60,7"
AUT,ALL_PERSONS,2012,"60,8"
AUT,ALL_PERSONS,2013,"60,9"
PRT,ALL_PERSONS,2000,61
IRL,ALL_PERSONS,2010,"61,1"
PRT,ALL_PERSONS,2010,"61,2"
PRT,ALL_PERSONS,2009,"61,4"
LVA,ALL_PERSONS,2008,"61,5"
PRT,ALL_PERSONS,2001,"61,5"
PRT,ALL_PERSONS,2004,"61,6"
PRT,ALL_PERSONS,2002,"61,9"
PRT,ALL_PERSONS,2003,"61,9"
PRT,ALL_PERSONS,2005,"61,9"
PRT,ALL_PERSONS,2008,62
IRL,ALL_PERSONS,2005,"62,1"
PRT,ALL_PERSONS,2006,"62,1"
DNK,ALL_PERSONS,2014,"62,2"
PRT,ALL_PERSONS,2007,"62,2"
GBR,ALL_PERSONS,2001,"62,3"
DNK,ALL_PERSONS,2013,"62,4"
EST,ALL_PERSONS,2002,"62,4"
IRL,ALL_PERSONS,2009,"62,5"
GBR,ALL_PERSONS,2000,"62,6"
GBR,ALL_PERSONS,2002,"62,7"
GBR,ALL_PERSONS,2003,"62,8"
GBR,ALL_PERSONS,2004,"62,8"
GBR,ALL_PERSONS,2005,"62,9"
GBR,ALL_PERSONS,2010,"62,9"
GBR,ALL_PERSONS,2011,63
GBR,ALL_PERSONS,2012,"63,1"
GBR,ALL_PERSONS,2013,"63,1"
NLD,ALL_PERSONS,2000,"63,1"
NLD,ALL_PERSONS,2001,"63,1"
NLD,ALL_PERSONS,2003,"63,1"
DNK,ALL_PERSONS,2012,"63,2"
GBR,ALL_PERSONS,2007,"63,2"
GBR,ALL_PERSONS,2009,"63,2"
GBR,ALL_PERSONS,2014,"63,2"
IRL,ALL_PERSONS,2006,"63,2"
EST,ALL_PERSONS,2003,"63,3"
EST,ALL_PERSONS,2004,"63,3"
NLD,ALL_PERSONS,2004,"63,3"
EST,ALL_PERSONS,2001,"63,4"
EST,ALL_PERSONS,2005,"63,4"
GBR,ALL_PERSONS,2006,"63,4"
GBR,ALL_PERSONS,2008,"63,4"
NLD,ALL_PERSONS,2005,"63,6"
IRL,ALL_PERSONS,2008,"63,7"
NLD,ALL_PERSONS,2006,"63,7"
NLD,ALL_PERSONS,2002,"63,8"
DNK,ALL_PERSONS,2011,"63,9"
EST,ALL_PERSONS,2000,64
IRL,ALL_PERSONS,2007,"64,1"
DNK,ALL_PERSONS,2010,"64,4"
NLD,ALL_PERSONS,2014,"64,4"
NLD,ALL_PERSONS,2007,"64,8"
NLD,ALL_PERSONS,2011,"64,8"
NLD,ALL_PERSONS,2010,"65,1"
NLD,ALL_PERSONS,2012,"65,2"
NLD,ALL_PERSONS,2013,"65,2"
DNK,ALL_PERSONS,2009,"65,3"
DNK,ALL_PERSONS,2000,"65,5"
DNK,ALL_PERSONS,2002,"65,5"
DNK,ALL_PERSONS,2003,"65,5"
FIN,ALL_PERSONS,2013,"65,5"
NLD,ALL_PERSONS,2008,"65,5"
DNK,ALL_PERSONS,2005,"65,6"
NLD,ALL_PERSONS,2009,"65,6"
DNK,ALL_PERSONS,2007,"65,7"
FIN,ALL_PERSONS,2014,"65,8"
DNK,ALL_PERSONS,2001,"65,9"
DNK,ALL_PERSONS,2006,"65,9"
EST,ALL_PERSONS,2006,"65,9"
DNK,ALL_PERSONS,2004,66
DNK,ALL_PERSONS,2008,66
EST,ALL_PERSONS,2007,66
EST,ALL_PERSONS,2010,"66,5"
FIN,ALL_PERSONS,2004,"66,5"
FIN,ALL_PERSONS,2012,"66,5"
EST,ALL_PERSONS,2009,"66,6"
FIN,ALL_PERSONS,2009,"66,6"
FIN,ALL_PERSONS,2010,"66,6"
FIN,ALL_PERSONS,2011,"66,6"
FIN,ALL_PERSONS,2003,"66,8"
FIN,ALL_PERSONS,2005,"66,8"
EST,ALL_PERSONS,2008,"66,9"
FIN,ALL_PERSONS,2000,"66,9"
CHE,ALL_PERSONS,2005,67
FIN,ALL_PERSONS,2002,"67,1"
FIN,ALL_PERSONS,2001,"67,2"
CHE,ALL_PERSONS,2004,"67,3"
CHE,ALL_PERSONS,2000,"67,4"
CHE,ALL_PERSONS,2006,"67,4"
FIN,ALL_PERSONS,2006,"67,4"
CHE,ALL_PERSONS,2007,"67,6"
CHE,ALL_PERSONS,2002,"67,7"
EST,ALL_PERSONS,2011,"67,7"
FIN,ALL_PERSONS,2007,"67,7"
CHE,ALL_PERSONS,2001,"67,8"
CHE,ALL_PERSONS,2003,"67,8"
CHE,ALL_PERSONS,2010,"67,8"
CHE,ALL_PERSONS,2011,68
EST,ALL_PERSONS,2012,68
FIN,ALL_PERSONS,2008,"68,1"
CHE,ALL_PERSONS,2008,"68,2"
CHE,ALL_PERSONS,2009,"68,2"
CHE,ALL_PERSONS,2012,"68,2"
CHE,ALL_PERSONS,2013,"68,3"
EST,ALL_PERSONS,2013,"68,3"
EST,ALL_PERSONS,2014,"68,3"
CHE,ALL_PERSONS,2014,"68,7"
SWE,ALL_PERSONS,2010,"70,5"
SWE,ALL_PERSONS,2009,"70,6"
SWE,ALL_PERSONS,2004,"70,8"
