COU,SEX,Time,Value
BEL,MEN,2014,"59,2"
ITA,MEN,2013,"59,3"
ITA,MEN,2011,"59,4"
ITA,MEN,2014,"59,4"
BEL,MEN,2011,"59,7"
BEL,MEN,2012,"59,7"
BEL,MEN,2013,"59,7"
ITA,MEN,2010,"59,8"
ITA,MEN,2012,"59,9"
GRC,MEN,2014,"60,1"
ITA,MEN,2009,"60,3"
BEL,MEN,2009,"60,4"
ITA,MEN,2007,"60,4"
LUX,MEN,2006,"60,4"
BEL,MEN,2003,"60,5"
BEL,MEN,2002,"60,8"
BEL,MEN,2008,"60,8"
BEL,MEN,2010,"60,8"
HUN,MEN,2002,"60,8"
ITA,MEN,2006,"60,8"
BEL,MEN,2001,"60,9"
BEL,MEN,2006,"60,9"
GRC,MEN,2013,"60,9"
HUN,MEN,2001,"60,9"
ITA,MEN,2005,"60,9"
BEL,MEN,2004,"61,1"
BEL,MEN,2007,"61,1"
FRA,MEN,2014,"61,1"
HUN,MEN,2000,"61,1"
ITA,MEN,2008,"61,1"
HUN,MEN,2004,"61,2"
GRC,MEN,2012,"61,3"
ITA,MEN,2004,"61,3"
LTU,MEN,2006,"61,3"
LUX,MEN,2007,"61,3"
BEL,MEN,2005,"61,4"
HUN,MEN,2003,"61,4"
HUN,MEN,2009,"61,4"
HUN,MEN,2010,"61,4"
BEL,MEN,2000,"61,5"
FRA,MEN,2013,"61,6"
HUN,MEN,2008,"61,6"
FRA,MEN,2011,"61,7"
HUN,MEN,2005,"61,7"
FRA,MEN,2012,"61,9"
HUN,MEN,2011,"61,9"
POL,MEN,2007,"61,9"
ITA,MEN,2001,62
ITA,MEN,2002,62
LTU,MEN,2007,62
LTU,MEN,2009,62
LTU,MEN,2010,62
FRA,MEN,2008,"62,1"
FRA,MEN,2010,"62,1"
POL,MEN,2006,"62,1"
FRA,MEN,2007,"62,2"
FRA,MEN,2009,"62,2"
GRC,MEN,2011,"62,2"
ITA,MEN,2000,"62,2"
LTU,MEN,2008,"62,2"
POL,MEN,2003,"62,2"
FRA,MEN,2006,"62,3"
HUN,MEN,2007,"62,3"
ITA,MEN,2003,"62,3"
POL,MEN,2004,"62,3"
HUN,MEN,2006,"62,5"
FRA,MEN,2005,"62,6"
FRA,MEN,2001,"62,7"
POL,MEN,2008,"62,7"
POL,MEN,2005,"62,8"
FRA,MEN,2000,"62,9"
FRA,MEN,2002,"62,9"
FRA,MEN,2004,"62,9"
HUN,MEN,2012,"62,9"
LTU,MEN,2005,"62,9"
POL,MEN,2002,"62,9"
SVN,MEN,2012,63
FRA,MEN,2003,"63,1"
LTU,MEN,2011,"63,1"
SVN,MEN,2013,"63,1"
LTU,MEN,2012,"63,2"
SVN,MEN,2014,"63,3"
POL,MEN,2009,"63,4"
LTU,MEN,2004,"63,5"
SVN,MEN,2003,"63,5"
GRC,MEN,2010,"63,6"
POL,MEN,2010,"63,7"
SVN,MEN,2011,"63,7"
POL,MEN,2001,"63,8"
HUN,MEN,2013,"63,9"
GRC,MEN,2009,64
POL,MEN,2011,64
GRC,MEN,2001,"64,1"
GRC,MEN,2002,"64,1"
LTU,MEN,2013,"64,1"
LUX,MEN,2008,"64,1"
POL,MEN,2000,"64,1"
SVN,MEN,2002,"64,1"
GRC,MEN,2007,"64,2"
GRC,MEN,2008,"64,2"
SVN,MEN,2000,"64,2"
GRC,MEN,2003,"64,3"
GRC,MEN,2005,"64,3"
POL,MEN,2012,"64,3"
GRC,MEN,2004,"64,4"
GRC,MEN,2006,"64,4"
LVA,MEN,2000,"64,4"
POL,MEN,2013,"64,4"
PRT,MEN,2014,"64,5"
LTU,MEN,2003,"64,6"
GRC,MEN,2000,"64,7"
LVA,MEN,2001,"64,7"
POL,MEN,2014,"64,7"
DEU,MEN,2003,"64,8"
DEU,MEN,2004,"64,8"
LTU,MEN,2002,"64,8"
SVN,MEN,2001,"64,8"
LUX,MEN,2004,"64,9"
LTU,MEN,2014,65
LUX,MEN,2011,65
LVA,MEN,2010,65
LTU,MEN,2001,"65,1"
LUX,MEN,2003,"65,1"
LUX,MEN,2005,"65,1"
PRT,MEN,2013,"65,1"
LVA,MEN,2011,"65,3"
SVN,MEN,2010,"65,3"
LVA,MEN,2003,"65,4"
LVA,MEN,2004,"65,4"
DEU,MEN,2002,"65,5"
SVN,MEN,2009,"65,5"
LVA,MEN,2005,"65,6"
SVN,MEN,2008,"65,6"
HUN,MEN,2014,"65,7"
LUX,MEN,2001,"65,7"
LUX,MEN,2012,"65,7"
SVN,MEN,2006,"65,7"
ESP,MEN,2014,"65,8"
LUX,MEN,2010,"65,8"
