COU,SEX,Time,Value
AUT,WOMEN,2000,49.0
BEL,WOMEN,2000,43.4
CHE,WOMEN,2000,57.6
CZE,WOMEN,2000,51.6
DEU,WOMEN,2000,49.1
DNK,WOMEN,2000,60.1
ESP,WOMEN,2000,41.3
EST,WOMEN,2000,58.3
FIN,WOMEN,2000,63.3
FRA,WOMEN,2000,49.1
GBR,WOMEN,2000,54.9
GRC,WOMEN,2000,40.3
HUN,WOMEN,2000,45.5
IRL,WOMEN,2000,47.8
ISL,WOMEN,2000,77.4
ITA,WOMEN,2000,35.8
LTU,WOMEN,2000,54.4
LUX,WOMEN,2000,41.4
LVA,WOMEN,2000,49.4
NLD,WOMEN,2000,53.7
NOR,WOMEN,2000,68.9
POL,WOMEN,2000,49.7
PRT,WOMEN,2000,52.9
SVK,WOMEN,2000,52.6
SVN,WOMEN,2000,51.5
SWE,WOMEN,2000,67.5
TUR,WOMEN,2000,26.6
AUT,WOMEN,2001,49.5
BEL,WOMEN,2001,42.3
CHE,WOMEN,2001,58.8
CZE,WOMEN,2001,51.3
DEU,WOMEN,2001,49.3
DNK,WOMEN,2001,60.5
ESP,WOMEN,2001,40.3
EST,WOMEN,2001,58.1
FIN,WOMEN,2001,63.6
FRA,WOMEN,2001,48.9
GBR,WOMEN,2001,54.9
GRC,WOMEN,2001,39.5
HUN,WOMEN,2001,45.4
IRL,WOMEN,2001,48.2
ISL,WOMEN,2001,77.3
ITA,WOMEN,2001,36.4
LTU,WOMEN,2001,53.0
LUX,WOMEN,2001,42.4
LVA,WOMEN,2001,50.1
NLD,WOMEN,2001,53.8
NOR,WOMEN,2001,69.2
POL,WOMEN,2001,49.5
PRT,WOMEN,2001,53.5
SVK,WOMEN,2001,53.0
SVN,WOMEN,2001,51.6
SWE,WOMEN,2001,68.2
TUR,WOMEN,2001,27.1
AUT,WOMEN,2002,50.5
BEL,WOMEN,2002,43.2
CHE,WOMEN,2002,59.3
CZE,WOMEN,2002,51.0
DEU,WOMEN,2002,49.4
DNK,WOMEN,2002,60.1
ESP,WOMEN,2002,42.7
