stad,dag,dagGemTemp,dagMinTemp,dagMaxTemp
  De Bilt,20160101,   41,   -2,   75
  De Bilt,20160102,   54,   46,   63
  De Bilt,20160103,   69,   52,   82
  De Bilt,20160104,   57,   38,   70
  De Bilt,20160105,   68,   47,   77
  De Bilt,20160106,   26,   16,   47
  De Bilt,20160107,   61,   35,   79
  De Bilt,20160108,   54,   14,   83
  De Bilt,20160109,   56,   10,   79
  De Bilt,20160110,   69,   50,   90
  De Bilt,20160111,   48,   21,   67
  De Bilt,20160112,   58,   47,   72
  De Bilt,20160113,   50,   24,   70
  De Bilt,20160114,   35,   16,   53
  De Bilt,20160115,   24,  -12,   40
  De Bilt,20160116,   27,  -16,   56
  De Bilt,20160117,  -10,  -56,   30
  De Bilt,20160118,  -33,  -67,    0
  De Bilt,20160119,  -25,  -80,    7
  De Bilt,20160120,   12,  -37,   53
  De Bilt,20160121,  -12,  -43,   15
  De Bilt,20160122,    9,  -22,   57
  De Bilt,20160123,   66,   28,   90
  De Bilt,20160124,   77,   50,  104
  De Bilt,20160125,  107,   74,  146
  De Bilt,20160126,   92,   66,  111
  De Bilt,20160127,  109,   86,  124
  De Bilt,20160128,   67,   49,   90
  De Bilt,20160129,   85,   53,  100
  De Bilt,20160130,   74,   51,   99
  De Bilt,20160131,   68,   36,  108
  De Bilt,20160201,  115,  106,  119
  De Bilt,20160202,   89,   65,  114
  De Bilt,20160203,   50,   31,   70
  De Bilt,20160204,   51,   29,   77
  De Bilt,20160205,   87,   50,  109
  De Bilt,20160206,   94,   83,  106
  De Bilt,20160207,   85,   66,  111
  De Bilt,20160208,   85,   70,   99
  De Bilt,20160209,   53,   33,   82
  De Bilt,20160210,   48,   18,   83
  De Bilt,20160211,   38,  -16,   83
  De Bilt,20160212,   27,  -17,   66
  De Bilt,20160213,   18,  -20,   44
  De Bilt,20160214,   14,    5,   26
  De Bilt,20160215,   23,  -31,   56
  De Bilt,20160216,   -3,  -50,   61
  De Bilt,20160217,  -13,  -52,   35
  De Bilt,20160218,   13,  -23,   31
  De Bilt,20160219,   39,   12,   83
  De Bilt,20160220,   82,   50,  111
  De Bilt,20160221,  104,   86,  116
  De Bilt,20160222,   68,   44,  113
  De Bilt,20160223,   43,    8,   79
  De Bilt,20160224,   23,  -14,   65
  De Bilt,20160225,   18,  -10,   54
  De Bilt,20160226,   21,   -7,   55
  De Bilt,20160227,   22,  -16,   63
  De Bilt,20160228,   22,  -17,   66
  De Bilt,20160229,   13,  -43,   67
