Date,Rainfall
2016/01/01,0
2016/01/02,33
2016/01/03,88
2016/01/04,112
2016/01/05,3
2016/01/06,5
2016/01/07,108
2016/01/08,0
2016/01/09,3
2016/01/10,43
2016/01/11,19
2016/01/12,104
2016/01/13,28
2016/01/14,134
2016/01/15,-1
2016/01/16,16
2016/01/17,-1
2016/01/18,0
2016/01/19,-1
2016/01/20,-1
2016/01/21,0
2016/01/22,41
2016/01/23,0
2016/01/24,22
2016/01/25,0
2016/01/26,21
2016/01/27,131
2016/01/28,2
2016/01/29,19
2016/01/30,187
2016/01/31,45
2016/02/01,5
2016/02/02,2
2016/02/03,43
2016/02/04,34
2016/02/05,8
2016/02/06,1
2016/02/07,37
2016/02/08,110
2016/02/09,88
2016/02/10,57
2016/02/11,2
2016/02/12,-1
2016/02/13,5
2016/02/14,146
2016/02/15,1
2016/02/16,0
2016/02/17,0
2016/02/18,13
2016/02/19,5
2016/02/20,90
2016/02/21,83
2016/02/22,35
2016/02/23,33
2016/02/24,4
2016/02/25,19
2016/02/26,0
2016/02/27,0
2016/02/28,0
2016/02/29,0
2016/03/01,61
2016/03/02,68
2016/03/03,8
2016/03/04,125
2016/03/05,2
2016/03/06,17
2016/03/07,25
2016/03/08,-1
2016/03/09,0
2016/03/10,0
2016/03/11,0
2016/03/12,0
2016/03/13,0
2016/03/14,0
2016/03/15,0
2016/03/16,0
2016/03/17,0
2016/03/18,-1
2016/03/19,0
2016/03/20,7
2016/03/21,12
2016/03/22,1
2016/03/23,3
2016/03/24,1
2016/03/25,44
2016/03/26,0
2016/03/27,73
2016/03/28,9
2016/03/29,83
2016/03/30,12
2016/03/31,0
2016/04/01,0
2016/04/02,-1
2016/04/03,97
2016/04/04,63
2016/04/05,14
2016/04/06,41
2016/04/07,41
2016/04/08,22
2016/04/09,0
2016/04/10,17
2016/04/11,-1
2016/04/12,30
2016/04/13,0
2016/04/14,0
2016/04/15,101
2016/04/16,7
2016/04/17,43
2016/04/18,-1
2016/04/19,0
2016/04/20,0
2016/04/21,0
2016/04/22,0
2016/04/23,30
2016/04/24,22
2016/04/25,41
2016/04/26,119
2016/04/27,28
2016/04/28,10
2016/04/29,100
2016/04/30,0
2016/05/01,0
2016/05/02,1
2016/05/03,35
2016/05/04,0
2016/05/05,0
2016/05/06,0
2016/05/07,0
2016/05/08,0
2016/05/09,0
2016/05/10,-1
2016/05/11,-1
2016/05/12,0
2016/05/13,0
2016/05/14,-1
2016/05/15,1
2016/05/16,3
2016/05/17,0
2016/05/18,4
2016/05/19,2
2016/05/20,5
2016/05/21,-1
2016/05/22,153
2016/05/23,184
2016/05/24,-1
2016/05/25,1
2016/05/26,0
2016/05/27,0
2016/05/28,-1
2016/05/29,4
2016/05/30,66
2016/05/31,0
2016/06/01,15
2016/06/02,-1
2016/06/03,-1
2016/06/04,5
2016/06/05,0
2016/06/06,0
2016/06/07,-1
2016/06/08,0
2016/06/09,0
2016/06/10,-1
2016/06/11,13
2016/06/12,33
2016/06/13,26
2016/06/14,224
2016/06/15,62
2016/06/16,26
2016/06/17,40
2016/06/18,11
2016/06/19,-1
2016/06/20,182
2016/06/21,39
2016/06/22,0
2016/06/23,495
2016/06/24,7
2016/06/25,14
2016/06/26,190
2016/06/27,23
2016/06/28,50
2016/06/29,16
2016/06/30,76
2016/07/01,22
2016/07/02,15
2016/07/03,178
2016/07/04,0
2016/07/05,19
2016/07/06,5
2016/07/07,0
2016/07/08,47
2016/07/09,0
2016/07/10,0
2016/07/11,0
2016/07/12,99
2016/07/13,42
2016/07/14,0
2016/07/15,0
2016/07/16,0
2016/07/17,-1
2016/07/18,0
2016/07/19,0
2016/07/20,0
2016/07/21,0
2016/07/22,117
2016/07/23,0
2016/07/24,0
2016/07/25,5
2016/07/26,0
2016/07/27,64
2016/07/28,5
2016/07/29,38
2016/07/30,72
2016/07/31,2
2016/08/01,68
2016/08/02,83
2016/08/03,19
2016/08/04,-1
2016/08/05,0
2016/08/06,64
2016/08/07,0
2016/08/08,1
2016/08/09,74
2016/08/10,13
2016/08/11,96
2016/08/12,16
2016/08/13,0
2016/08/14,0
2016/08/15,0
2016/08/16,0
2016/08/17,0
2016/08/18,0
2016/08/19,34
2016/08/20,54
2016/08/21,145
2016/08/22,32
2016/08/23,0
2016/08/24,0
2016/08/25,0
2016/08/26,0
2016/08/27,11
2016/08/28,4
2016/08/29,2
2016/08/30,0
2016/08/31,0
2016/09/01,0
2016/09/02,10
2016/09/03,10
2016/09/04,28
2016/09/05,-1
2016/09/06,0
2016/09/07,0
2016/09/08,0
2016/09/09,0
2016/09/10,0
2016/09/11,12
2016/09/12,0
2016/09/13,0
2016/09/14,0
2016/09/15,42
2016/09/16,12
2016/09/17,0
2016/09/18,0
2016/09/19,0
2016/09/20,0
2016/09/21,0
2016/09/22,0
2016/09/23,-1
2016/09/24,0
2016/09/25,35
2016/09/26,0
2016/09/27,0
2016/09/28,-1
2016/09/29,27
2016/09/30,-1
2016/10/01,10
2016/10/02,107
2016/10/03,-1
2016/10/04,0
2016/10/05,0
2016/10/06,0
2016/10/07,0
2016/10/08,-1
2016/10/09,4
2016/10/10,0
2016/10/11,-1
2016/10/12,0
