# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 370:         5.377       51.451      22.60  EINDHOVEN
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,   TG
# 
  370,19860101,  -25
  370,19860102,   40
  370,19860103,   26
  370,19860104,    9
  370,19860105,   15
  370,19860106,   14
  370,19860107,  -11
  370,19860108,   -8
  370,19860109,  -35
  370,19860110,   26
  370,19860111,   57
  370,19860112,   52
  370,19860113,   84
  370,19860114,   72
  370,19860115,   44
  370,19860116,   27
  370,19860117,   19
  370,19860118,   60
  370,19860119,   94
  370,19860120,   64
  370,19860121,   66
  370,19860122,   58
  370,19860123,   64
  370,19860124,   25
  370,19860125,   18
  370,19860126,    0
  370,19860127,  -19
  370,19860128,   23
  370,19860129,   20
  370,19860130,   15
  370,19860131,   25
  370,19860201,   29
  370,19860202,   22
  370,19860203,    9
  370,19860204,   -7
  370,19860205,  -31
  370,19860206,  -32
  370,19860207,  -35
  370,19860208,  -50
  370,19860209,  -98
  370,19860210,  -25
  370,19860211,   -2
  370,19860212,   -9
  370,19860213,  -23
  370,19860214,  -23
  370,19860215,  -13
  370,19860216,  -18
  370,19860217,  -10
  370,19860218,  -36
  370,19860219,  -40
  370,19860220,  -51
  370,19860221,  -76
  370,19860222,  -55
  370,19860223,  -36
  370,19860224,  -56
  370,19860225,  -42
  370,19860226,  -47
  370,19860227,  -39
  370,19860228,  -14
  370,19860301,    1
  370,19860302,  -13
  370,19860303,  -21
  370,19860304,   -1
  370,19860305,   74
  370,19860306,   57
  370,19860307,   28
  370,19860308,   34
  370,19860309,   27
  370,19860310,   31
  370,19860311,   31
  370,19860312,   31
  370,19860313,   41
  370,19860314,   41
  370,19860315,   50
  370,19860316,   61
  370,19860317,   67
  370,19860318,  105
  370,19860319,  103
  370,19860320,   71
  370,19860321,   50
  370,19860322,   55
  370,19860323,   79
  370,19860324,   61
  370,19860325,   61
  370,19860326,   58
  370,19860327,   96
  370,19860328,   94
  370,19860329,   73
  370,19860330,   50
  370,19860331,   64
  370,19860401,   58
  370,19860402,   58
  370,19860403,   50
  370,19860404,   41
  370,19860405,   44
  370,19860406,   48
  370,19860407,   67
  370,19860408,   66
  370,19860409,   47
  370,19860410,   44
  370,19860411,    4
  370,19860412,   12
  370,19860413,   26
  370,19860414,   50
  370,19860415,   76
  370,19860416,   97
  370,19860417,   81
  370,19860418,   53
  370,19860419,   55
  370,19860420,   64
  370,19860421,   78
  370,19860422,   92
  370,19860423,  100
  370,19860424,  104
  370,19860425,  102
  370,19860426,  102
  370,19860427,  111
  370,19860428,  104
  370,19860429,   94
  370,19860430,   98
  370,19860501,  139
  370,19860502,  187
  370,19860503,  169
  370,19860504,  137
  370,19860505,  152
  370,19860506,  140
  370,19860507,  131
  370,19860508,  108
  370,19860509,  116
  370,19860510,  144
